,num_qubits_simple_encoding,num_qubits_pattern_encoding,mcx_gates_simple_encoding,mcx_gates_pattern_encoding,total_gates_simple_encoding,total_gates_pattern_encoding
,mean,mean,mean,mean,mean,mean
missing_cells,,,,,,
2,11,9.1865,31,24.955,44,36.9475
3,28.0575,20.59,194.1075,109.2066,226.6025,130.2872
4,40.7741,32.3176,490.8042,227.3333,556.7945,258.1082
5,66.8906,43.1078,1389.0606,368.3922,1527.3158,408.2174
6,82.4766,53.7675,3460.8801,558.3332,3785.848,607.9143
7,114.1039,66.1779,11547.5888,877.6788,12473.9587,940.4419
8,140.6451,82.3858,36862.0032,1467.9926,39784.7987,1552.4346
9,167.4976,104.4815,153960.2712,2917.5693,165303.5216,3052.9597
10,212.8924,129.7451,783107.8554,7681.9442,836894.1278,7972.8579
11,244.3289,171.2342,4730609.415,37563.117,5063760.502,38714.5874
12,270.4698,213.2597,38719854.72,515028.1361,41502272.37,527720.3731
13,347.2147,276.141,521467756.3,28129096.52,553955080.5,28716911.89
14,380.6028,342.1141,8900657061,5796176868,9469464160,5911552818
15,414,419,2.42476E+11,4.91357E+12,2.58353E+11,5.01182E+12